Timestamp,Open,High,Low,Close,Volume,Symbol,Exchange,Timestamp
2018-01-01,13716.36,13818.55,12750.0,13387.0,8229.99,BTC.USDT,Binance,2018-01-01
2018-01-02,13380.0,15473.49,12890.02,14675.11,19323.86,BTC.USDT,Binance,2018-01-02
2018-01-03,14675.11,15307.56,14150.0,14919.51,15324.48,BTC.USDT,Binance,2018-01-03
2018-01-04,14919.51,15280.0,13918.04,15059.54,20701.32,BTC.USDT,Binance,2018-01-04
2018-01-05,15059.54,17176.24,14400.0,16960.39,21727.09,BTC.USDT,Binance,2018-01-05
2018-01-06,16960.39,17143.13,16011.21,17069.79,14467.86,BTC.USDT,Binance,2018-01-06
2018-01-07,17069.79,17099.96,15610.0,16150.03,9055.69,BTC.USDT,Binance,2018-01-07
2018-01-08,16150.03,16322.3,12812.0,14902.54,22021.1,BTC.USDT,Binance,2018-01-08
2018-01-09,14902.54,15500.0,14011.05,14400.0,13116.63,BTC.USDT,Binance,2018-01-09
2018-01-10,14400.0,14955.66,13131.31,14907.09,15923.89,BTC.USDT,Binance,2018-01-10
2018-01-11,14907.09,14968.68,11400.0,13238.78,30583.29,BTC.USDT,Binance,2018-01-11
2018-01-12,13238.78,14109.78,12500.0,13740.01,15623.63,BTC.USDT,Binance,2018-01-12
2018-01-13,13740.01,14580.0,13706.15,14210.0,11761.21,BTC.USDT,Binance,2018-01-13
2018-01-14,14210.0,14339.5,12569.2,13474.99,16068.86,BTC.USDT,Binance,2018-01-14
2018-01-15,13474.99,14249.99,12781.09,13539.93,13478.7,BTC.USDT,Binance,2018-01-15
2018-01-16,13539.93,13542.93,9035.0,10900.0,57782.94,BTC.USDT,Binance,2018-01-16
2018-01-17,10900.0,11680.99,9037.94,10988.79,65739.97,BTC.USDT,Binance,2018-01-17
2018-01-18,10988.79,11878.82,10435.33,10961.97,44630.41,BTC.USDT,Binance,2018-01-18
2018-01-19,10961.97,11795.0,10360.0,11474.98,31725.06,BTC.USDT,Binance,2018-01-19
2018-01-20,11474.98,13099.0,11412.45,12799.94,26892.43,BTC.USDT,Binance,2018-01-20
2018-01-21,12799.94,12799.94,10965.0,11530.0,38198.74,BTC.USDT,Binance,2018-01-21
2018-01-22,11530.0,11926.35,9900.24,10760.05,40200.74,BTC.USDT,Binance,2018-01-22
2018-01-23,10760.05,11399.0,9905.0,10799.18,34576.61,BTC.USDT,Binance,2018-01-23
