Timestamp,Open,High,Low,Close,Volume
2018-12-01 05:00:00,3981.26,3990.2,3950.15,3976.09,1458.49
2018-12-01 06:00:00,3976.08,3987.78,3942.62,3964.43,2106.01
2018-12-01 07:00:00,3964.83,3980.31,3954.54,3979.93,980.94
2018-12-01 08:00:00,3979.93,4022.17,3978.22,3993.78,1986.24
2018-12-01 09:00:00,3993.78,4017.03,3991.04,4010.57,892.34
2018-12-01 10:00:00,4010.57,4172.44,4003.97,4154.66,10576.38
2018-12-01 11:00:00,4154.66,4187.89,4152.38,4170.73,4854.48
2018-12-01 12:00:00,4170.73,4227.83,4168.99,4180.33,4127.43
2018-12-01 13:00:00,4180.33,4214.74,4174.69,4180.13,2365.53
2018-12-01 14:00:00,4180.13,4208.97,4169.37,4203.34,2714.11
2018-12-01 15:00:00,4203.34,4223.5,4191.51,4222.51,2437.46
2018-12-01 16:00:00,4222.51,4309.65,4221.53,4285.78,6109.14
2018-12-01 17:00:00,4285.67,4295.12,4251.25,4267.79,1927.47
2018-12-01 18:00:00,4267.79,4287.06,4250.11,4254.59,1334.59
2018-12-01 19:00:00,4254.18,4288.16,4253.84,4281.1,1809.54
2018-12-01 20:00:00,4280.98,4281.8,4186.3,4207.02,5536.03
2018-12-01 21:00:00,4207.01,4230.1,4194.04,4225.86,2311.83
2018-12-01 22:00:00,4226.33,4248.39,4218.0,4232.75,1155.09
2018-12-01 23:00:00,4232.65,4233.58,4192.65,4197.46,1658.53
2018-12-02 00:00:00,4197.7,4241.01,4194.67,4228.45,1401.56
2018-12-02 01:00:00,4228.28,4297.88,4222.14,4290.35,2701.01
2018-12-02 02:00:00,4290.64,4318.79,4264.62,4276.78,2987.0
2018-12-02 03:00:00,4276.96,4277.31,4173.44,4199.55,4591.17
2018-12-02 04:00:00,4199.93,4209.78,4182.73,4182.73,1283.47
2018-12-02 05:00:00,4182.73,4183.24,4113.47,4139.51,3590.62
2018-12-02 06:00:00,4139.51,4159.02,4113.72,4146.82,1726.82
2018-12-02 07:00:00,4146.82,4186.36,4129.03,4163.26,2164.99
2018-12-02 08:00:00,4163.26,4183.47,4146.4,4168.45,1364.8
2018-12-02 09:00:00,4168.45,4227.47,4168.22,4193.59,2865.43
2018-12-02 10:00:00,4195.05,4196.46,4089.05,4110.92,4242.09
2018-12-02 11:00:00,4110.92,4131.31,4077.67,4121.03,2105.22
2018-12-02 12:00:00,4121.24,4164.24,4109.62,4149.13,2281.63
2018-12-02 13:00:00,4149.13,4156.95,4104.16,4128.81,2037.51
2018-12-02 14:00:00,4128.81,4183.84,4121.38,4164.55,2860.91
2018-12-02 15:00:00,4164.55,4187.76,4127.43,4161.09,3276.09
2018-12-02 16:00:00,4161.86,4178.32,4144.74,4168.86,2166.74
2018-12-02 17:00:00,4169.35,4173.31,4116.11,4151.53,2877.65
2018-12-02 18:00:00,4151.79,4162.19,4133.79,4149.68,1253.22
2018-12-02 19:00:00,4149.92,4171.9,4131.42,4166.23,1707.25
2018-12-02 20:00:00,4166.81,4224.03,4157.34,4208.8,3565.94
2018-12-02 21:00:00,4208.8,4236.26,4191.56,4202.68,3018.09
2018-12-02 22:00:00,4202.35,4207.81,4143.62,4165.65,1915.42
2018-12-02 23:00:00,4165.99,4187.18,4109.04,4143.86,4764.2
2018-12-03 00:00:00,4143.86,4159.01,4098.53,4123.11,2660.38
2018-12-03 01:00:00,4123.9,4150.6,4102.33,4132.07,2114.84
2018-12-03 02:00:00,4132.07,4132.62,3956.96,3983.17,11960.88
2018-12-03 03:00:00,3983.17,4013.94,3979.48,4007.96,3516.71
2018-12-03 04:00:00,4007.96,4027.61,3986.84,4019.71,4732.88
2018-12-03 05:00:00,4020.23,4021.5,3997.89,4007.5,3172.82
2018-12-03 06:00:00,4007.5,4009.67,3979.8,4003.09,3667.94
2018-12-03 07:00:00,4003.09,4012.35,3984.23,4009.96,2561.7
2018-12-03 08:00:00,4009.96,4036.57,3960.39,4032.48,5006.15
2018-12-03 09:00:00,4032.48,4033.26,4013.73,4017.99,2610.04
2018-12-03 10:00:00,4017.99,4040.22,4014.12,4027.03,2394.47
2018-12-03 11:00:00,4026.56,4026.56,3996.48,4012.45,2374.51
2018-12-03 12:00:00,4012.45,4050.16,4007.19,4025.37,3772.16
2018-12-03 13:00:00,4025.37,4025.82,3997.88,4010.75,3076.56
2018-12-03 14:00:00,4010.75,4024.25,3972.71,3977.16,4847.36
2018-12-03 15:00:00,3977.16,3977.16,3831.76,3862.98,18324.65
2018-12-03 16:00:00,3862.98,3870.95,3795.18,3863.5,7748.48
2018-12-03 17:00:00,3863.5,3873.52,3849.07,3872.09,2911.76
2018-12-03 18:00:00,3872.09,3899.7,3861.34,3877.64,2677.18
2018-12-03 19:00:00,3877.64,3880.8,3851.83,3853.42,2856.27
2018-12-03 20:00:00,3853.42,3877.16,3832.96,3874.67,4143.43
2018-12-03 21:00:00,3874.67,3910.64,3866.64,3909.69,3584.17
2018-12-03 22:00:00,3909.69,3919.4,3879.83,3883.11,3479.39
2018-12-03 23:00:00,3883.11,3899.31,3869.2,3871.41,3205.88
2018-12-04 00:00:00,3871.41,3905.15,3830.24,3889.43,6300.08
2018-12-04 01:00:00,3889.43,3913.25,3888.75,3893.46,2444.33
2018-12-04 02:00:00,3893.46,3894.09,3870.86,3871.7,2544.53
